Ref,Val,Package,PosX,PosY,Rot,Side
"C4","1uF","C_0603_1608Metric",-36.918900,48.298100,0.000000,bottom
"C6","10uF","C_0603_1608Metric",-49.999900,65.316100,0.000000,bottom
"C8","10nF","C_0603_1608Metric",-61.556900,48.044100,-90.000000,bottom
"C9","0.1uF","C_0603_1608Metric",-64.096900,48.084904,-90.000000,bottom
"C10","0.1uF","C_0603_1608Metric",-48.094900,40.170100,-90.000000,bottom
"C11","0.1uF","C_0603_1608Metric",-53.555900,43.345100,90.000000,bottom
"C12","1uF","C_0603_1608Metric",-41.363900,46.520100,180.000000,bottom
"C13","1uF","C_0603_1608Metric",-44.919900,49.949100,0.000000,bottom
"C14","10uF","C_0603_1608Metric",-41.363900,44.742100,0.000000,bottom
"C15","1uF","C_0603_1608Metric",-51.396900,49.441100,0.000000,bottom
"C16","10uF","C_0603_1608Metric",-50.761900,43.345100,90.000000,bottom
"C33","1uF","C_0603_1608Metric",-49.695100,83.959700,180.000000,bottom
"C35","10uF","C_0603_1608Metric",-50.330100,81.343500,90.000000,bottom
"C40","10nF","C_0603_1608Metric",-56.095900,48.044100,-90.000000,bottom
"C41","10nF","C_0603_1608Metric",-65.874900,51.219100,-90.000000,bottom
"C42","10nF","C_0603_1608Metric",-69.684900,51.219100,-90.000000,bottom
"C51","22uF","C_0603_1608Metric",-69.520100,17.411700,180.000000,bottom
"C52","22uF","C_0603_1608Metric",-69.507100,15.786100,180.000000,bottom
"C53","100uF","C_1210_3225Metric",-81.241900,23.152100,90.000000,bottom
"C54","100uF","C_1210_3225Metric",-81.241900,18.453100,-90.000000,bottom
"C55","0.1uF","C_0603_1608Metric",-76.288900,21.628100,0.000000,bottom
"C56","3.3nF","C_0603_1608Metric",-75.374500,11.925300,180.000000,bottom
"C57","1uF","C_0603_1608Metric",-77.304900,9.588500,-90.000000,bottom
"D4","DFLS130L","PWRDI-123",-62.699900,80.873600,0.000000,bottom
"J1","503182-1852","MOLEX_503182-1852",-24.536400,51.155600,-90.000000,bottom
"J14","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",-53.809900,78.143100,-90.000000,bottom
"L4","1uH","L_2510",-50.183900,78.143100,0.000000,bottom
